TubeNo,i5
H9,C1
H10,C2
H12,C3
H13,C4
H14,C1
H15,C2
H16,C3
H17,C4
H18,C1
H19,C2
H20,C3
H21,C4
H22,C1
H23,C2
H24,C3
H25,C4
H26,C5
H27,C6
H28,C7
H29,C8
H30,C5
H31,C6
H32,C7
H33,C8
H34,C5
H35,C6
H36,C7
H37,C8
H38,C5
H39,C6
H40,C7
H41,C8
H42,C5
